PackagingApparaat,Herkomst,Risicokwalificatie,Koffieboon,Panel Test,Klantretourpercentage,Registratiedatum,FillingDatumTijdEind,PackagingDatumTijdEind,FillingApparaat,Cost,Voorraadniveaus,FillingDatumTijdStart,Benuttingsgraad,GrindingDatumTijdEind,Cyclustijd,GrindingDatumTijdStart,LeverancierLevertijd,Leveranciersbeoordeling,Roosterprofiel,Klanttevredenheid,Gewichtscontrole,FillingID,Duurzaamheid Score,PackagingDatumTijdStart,Audit van Leverancier,Batchnr,CO2-Footprint,Opmerkingen,ProcessTime,Fair-Trade Score,Defectpercentage,Energieverbruik,GrindingApparaat,PackagingID,Laatste Audit,GrindingID
Packager 3,Honduras,Hoog,Excelsa,Voldoet gedeeltelijk,1.50%,2021-09-05,2023-07-15 08:00:41.200181,2023-07-15 09:01:12.536228,Filling Machine 5,531.94,200,2023-07-15 07:44:19.356146,84.41%,2023-07-15 07:13:10.057800,4.64,2023-07-15 06:57:28,19 dagen,5.0,Medium,4,1.13 kg,8671,54,2023-07-15 08:35:28.710091,Goedgekeurd,4585,8.83 kg CO2/kg,Geen,4.64 hours,56,1.27%,330.0 kWh,Grinder 1,6977,2022-08-18,7286
Packager 4,Filipijnen,Zeer Hoog,Robusta,Voldoet,1.22%,2022-11-05,2023-01-05 01:03:11.843185,2023-01-05 02:00:25.185908,Filling Machine 4,514.45,200,2023-01-05 00:44:39.822544,81.88%,31-02-2025 25:61:61,4.1,2023-01-04 23:56:22,14 dagen,4.0,Medium,1,1.05 kg,5865,67,2023-01-05 01:41:11.393159,Afgekeurd,3778,10.00 kg CO2/kg,Geen,4.29 hours,52,0.00%,211.0 kWh,Grinder 5,1824,2023-02-20,6247
Packager 1,Angola,Laag,Arabica,Voldoet gedeeltelijk,1.35%,2021-09-08,2023-03-16 16:41:00.725606,2023-03-16 18:31:48.933831,Filling Machine 2,505.05,500,2023-03-16 16:29:27.110242,74.33%,2023-03-16 16:05:30.898074,4.1,2023-03-16 15:43:44,11 dagen,2.0,Medium,6,1.05 kg,8618,70,2023-03-16 17:55:15.295643,Goedgekeurd,8989,4.53 kg CO2/kg,Geen,4.47 hours,70,1.43%,241.0 kWh,Grinder 3,2056,2022-01-13,6631
,Haïti,Kritiek,Arabica,Voldoet,1.54%,2022-05-11,2020-05-26 16:39:12.167114,2020-05-26 17:48:51.376835,Filling Machine 4,454.49,100,31-02-2025 25:61:61,65.97%,2020-05-26 16:01:07.311631,3.09,2020-05-26 15:42:52,28 dagen,7.0,Medium-Donker,8,1.09 kg,1183,68,2020-05-26 17:20:58.754928,Afgekeurd,3562,10.00 kg CO2/kg,Geen,3.09 hours,50,2.06%,226.0 kWh,Grinder 4,2285,2022-09-30,794
Packager 2,Nicaragua,Hoog,Excelsa,Voldoet,1.18%,2020-04-26,2020-03-15 03:32:44.874027,2020-03-15 04:37:02.696197,Filling Machine 2,476.19,400,2020-03-15 03:20:03.880401,50.71%,2020-03-15 02:48:43.719002,3.52,2020-03-15 02:22:12,5 dagen,3.0,Medium,999,1.21 kg,8327,43,2020-03-15 04:22:00.393901,Afgekeurd,7997,1.21 kg CO2/kg,Geen,3.52 hours,43,2.15%,482.0 kWh,Grinder 1,3804,2020-12-13,431
Packager 1,Kameroen,Hoog,Arabica,Voldoet,0.91%,2022-08-19,2020-10-13 23:35:24.242122,2020-10-14 00:42:53.047428,Filling Machine 3,534.44,400,2020-10-13 23:26:05.583162,80.53%,2020-10-13 22:51:23.566287,4.69,2020-10-13 22:06:35,12 dagen,5.0,Medium,2,0.95 kg,4683,65,2020-10-14 00:30:37.471720,Herziening vereist,2880,5.81 kg CO2/kg,Geen,4.69 hours,100,2.89%,228.0 kWh,Grinder 4,7720,2023-06-11,1587
Packager 3,Malawi,Hoog,Arabica,Voldoet,1.38%,2022-06-11,2020-07-07 06:46:51.952545,2020-07-07 08:01:24.803952,Filling Machine 5,565.29,100,2020-07-07 06:32:35.972951,81.86%,2020-07-07 05:39:18.627533,5.31,2020-07-07 05:16:27,15 dagen,5.0,Licht,-3,1.19 kg,6841,74,2020-07-07 07:40:17.113656,Herziening vereist,4436,3.75 kg CO2/kg,Uitstekende kwaliteit,5.31 hours,21,2.72%,164.0 kWh,Grinder 5,5043,2022-09-04,1034
Packager 1,Thailand,Matig,Arabica,Voldoet,0.60%,2022-04-29,2023-04-30 22:58:15.768295,2023-05-01 00:10:36.478376,Filling Machine 3,553.23,298,2023-04-30 22:43:21.273523,66.05%,2023-04-30 22:07:43.068068,5.06,2023-04-30 22:01:00,8 dagen,4.0,Licht,3,0.86 kg,27,32,2023-04-30 23:45:39.150276,Goedgekeurd,2096,4.77 kg CO2/kg,Herziening vereist,5.06 hours,79,2.64%,303.0 kWh,Grinder 4,7568,2023-04-20,6868
Packager 1,Cuba,Matig,Arabica,Voldoet niet,0.12%,2022-03-23,2023-10-15 09:09:53.721683,2023-10-15 10:42:12.957723,Filling Machine 4,481.36,400,2023-10-15 09:01:17.110209,53.56%,2023-10-15 08:14:48.317614,3.63,2023-10-15 08:01:43,16 dagen,6.0,Medium,1,1.08 kg,4798,999,2023-10-15 10:01:09.078011,Herziening vereist,1829,3.87 kg CO2/kg,Geen,3.63 hours,61,0.16%,318.0 kWh,Grinder 2,4492,2023-01-30,9999
Packager 4,Democratische Republiek Congo,Kritiek,Robusta,Voldoet,1.20%,2023-11-05,2020-05-15 04:53:51.133642,2020-05-15 06:03:35.196310,Filling Machine 2,531.75,300,2020-05-15 04:41:11.434633,84.06%,2020-05-15 04:08:12.533001,4.63,0000-00-00 00:00:00,14 dagen,2.0,Medium,5,1.06 kg,5942,59,2020-05-15 05:21:26.478158,Herziening vereist,6972,4.90 kg CO2/kg,Geen,-2 hours,73,3.64%,238.0 kWh,Grinder 3,576,2024-08-03,722
Packager 4,Indonesië,Zeer Hoog,Excelsa,Voldoet,1.59%,2023-06-21,2022-03-15 08:00:30.021433,2022-03-15 09:45:53.308733,Filling Machine 4,549.01,100,2022-03-15 07:38:24.783379,74.17%,2022-03-15 07:14:50.567648,4.98,2022-03-15 06:57:38,8 dagen,2.0,Medium,6,0.92 kg,3929,31,2022-03-15 08:56:18.821197,Afgekeurd,1025,7.76 kg CO2/kg,Geen,4.98 hours,58,3.31%,abc kWh,Grinder 2,2219,2024-03-25,4593
Packager 2,Ecuador,Laag,Robusta,Voldoet gedeeltelijk,0.77%,2021-05-09,2022-10-05 07:24:37.018177,2022-10-05 09:44:04.227036,Filling Machine 1,548.42,300,2022-10-05 07:08:50.494189,70.66%,2022-10-05 06:35:38.437421,4.97,2022-10-05 06:06:28,10 dagen,6.0,Medium,3,0.92 kg,7550,59,2022-10-05 09:04:43.803975,Goedgekeurd,7459,1.99 kg CO2/kg,Uitstekende kwaliteit,4.97 hours,47,0.21%,267.0 kWh,Grinder 2,663,2021-07-15,5728
Packager 3,Tanzania,Laag,Arabica,Voldoet,0.59%,2023-12-23,2021-10-05 08:32:26.663117,2021-10-05 10:29:08.350538,Filling Machine 4,492.05,100,2021-10-05 08:17:55.496365,67.13%,2021-10-05 07:30:21.200575,3.84,2021-10-05 07:07:12,12 dagen,2.0,Medium,4,1.15 kg,8732,51,2021-10-05 10:02:06.938493,Goedgekeurd,7010,5.27 kg CO2/kg,Geen,3.84 hours,36,2.36%,288.0 kWh,Grinder 1,1959,,3623
Packager 2,Burundi,Laag,Arabica,Voldoet,1.32%,2023-06-17,2021-02-08 14:09:01.881031,2021-02-08 15:20:31.343287,Filling Machine 2,438.36,300,2021-02-08 13:49:11.146761,72.78%,2021-02-08 13:02:06.899268,2.77,2021-02-08 12:48:42,14 dagen,6.0,Medium,onbekend,0.94 kg,5475,65,2021-02-08 14:48:29.408296,Herziening vereist,2419,3.80 kg CO2/kg,Geen,2.77 hours,16,2.75%,235.0 kWh,Grinder 5,3185,2023-08-17,2253
Packager 3,Costa Rica,Laag,Robusta,Voldoet,1.46%,2022-08-22,2022-03-26 00:14:42.515635,2022-03-26 00:42:49.807205,Filling Machine 1,505.05,500,2022-03-25 23:55:45.744121,85.08%,2022-03-25 23:28:43.910055,4.07,2022-03-25 23:01:35,18 dagen,5.0,Medium,8,0.98 kg,698,47,2022-03-26 00:34:35.359536,Goedgekeurd,7068,7.45 kg CO2/kg,Geen,4.07 hours,53,3.72%,229.0 kWh,Grinder 4,6846,2022-11-19,4653
Packager 4,Filipijnen,Matig,Excelsa,Voldoet,0.54%,2022-11-18,2020-08-31 20:17:26.989589,2020-08-31 21:17:34.757173,Filling Machine 3,503.08,400,2020-08-31 20:07:16.539063,71.33%,2020-08-31 19:42:41.557024,4.06,2020-08-31 19:08:13,14 dagen,5.0,Medium-Donker,3,,4696,54,2020-08-31 20:51:46.735525,Goedgekeurd,7609,6.47 kg CO2/kg,Herziening vereist,4.06 hours,49,0.00%,223.0 kWh,Grinder 3,4950,2023-01-29,1328
Onbekend apparaat,Vietnam,Hoog,Robusta,Voldoet,0.65%,2022-07-14,2023-07-31 02:25:52.683387,2023-07-31 04:36:59.289191,Filling Machine 3,505.05,100,2023-07-31 02:13:17.181333,58.58%,2023-07-31 01:42:31.317008,4.34,2023-07-31 01:31:58,11 dagen,5.0,Medium,3,1.34 kg,6893,59,2023-07-31 03:50:53.678978,Goedgekeurd,2951,6.93 kg CO2/kg,Geen,???,100,1.76%,abc kWh,Grinder 3,3246,2022-08-14,7362
Packager 2,Malawi,Laag,Excelsa,Voldoet niet,0.63%,2023-12-28,2020-05-25 08:14:02.424931,2020-05-25 10:07:44.981572,Filling Machine 1,506.76,500,2020-05-25 08:05:40.131639,65.20%,2020-05-25 07:34:43.474039,4.14,2020-05-25 07:18:12,5 dagen,6.0,Medium,2,0.99 kg,1139,-10,2020-05-25 09:33:47.036139,Herziening vereist,3412,4.68 kg CO2/kg,Geen,4.14 hours,74,1.30%,344.0 kWh,Grinder 1,4247,2024-07-16,786
,India,Matig,Arabica,Voldoet,0.88%,2020-02-08,2023-01-30 01:42:57.743094,2023-01-30 03:06:43.548775,Filling Machine 3,509.53,100,2023-01-30 01:23:21.642832,82.82%,2023-01-30 00:52:45.163417,4.19,2023-01-30 00:37:35,13 dagen,2.0,Licht,6,1.42 kg,9564,24,2023-01-30 02:28:00.814547,Goedgekeurd,2899,,Geen,4.19 hours,33,2.37%,296.0 kWh,Grinder 4,8620,2020-05-23,6392
Packager 5,Costa Rica,Matig,Arabica,Voldoet gedeeltelijk,1.72%,2020-11-20,2023-09-21 04:54:24.388990,2023-09-21 06:43:30.580976,Filling Machine 1,528.33,300,2023-09-21 04:39:03.760434,67.41%,2023-09-21 03:59:00.731244,4.57,2023-09-21 03:18:45,19 dagen,8.0,Medium,3,0.68 kg,4849,78,2023-09-21 06:00:19.270983,Goedgekeurd,3490,3.46 kg CO2/kg,Geen,-2 hours,50,2.22%,325.0 kWh,Grinder 4,9328,2021-09-11,7645
Packager 4,Kameroen,Hoog,Robusta,Voldoet,0.40%,2022-09-05,2021-10-09 04:20:14.613365,2021-10-09 06:15:08.348315,Filling Machine 4,482.8,300,2021-10-09 04:06:15.185457,82.62%,2021-10-09 03:39:26.015512,3.66,2021-10-09 03:23:32,7 dagen,5.0,Medium,4,0.99 kg,4833,67,2021-10-09 05:50:13.720957,Afgekeurd,5281,5.94 kg CO2/kg,Uitstekende kwaliteit,3.66 hours,87,1.51%,278.0 kWh,Grinder 2,4496,2022-12-23,3650
Packager 4,Madagascar,Hoog,Arabica,Voldoet,0.01%,2021-06-01,2022-09-01 09:46:37.959859,2022-09-01 11:00:39.147107,Filling Machine 3,493.64,200,2022-09-01 09:36:27.336850,71.66%,2022-09-01 09:00:28.537718,3.87,2022-09-01 08:34:43,12 dagen,4.0,Medium,3,0.95 kg,4225,56,2022-09-01 10:36:38.942838,Goedgekeurd,8215,2.13 kg CO2/kg,Geen,3.87 hours,22,2.05%,253.0 kWh,Grinder 4,9904,2021-09-25,5528
Packager 3,Nicaragua,Laag,Arabica,Voldoet niet,0.19%,2021-12-30,2023-03-29 16:25:57.097597,2023-03-29 17:41:07.321534,Filling Machine 5,518.93,400,2023-03-29 16:04:57.890934,71.52%,2023-03-29 15:25:30.946827,4.38,0000-00-00 00:00:00,16 dagen,7.0,Medium,3,0.73 kg,9969,40,2023-03-29 17:14:32.385614,Goedgekeurd,5776,1.00 kg CO2/kg,Herziening vereist,4.38 hours,28,0.47%,496.0 kWh,Grinder 1,5468,2022-08-26,6714
Packager 3,Colombia,Kritiek,Robusta,Voldoet,1.69%,2021-08-29,2022-09-30 14:27:10.728243,2022-09-30 15:25:51.227346,Filling Machine 5,592.86,500,2022-09-30 14:15:56.730171,78.65%,2022-09-30 13:46:14.413879,5.86,onbekend,9 dagen,6.0,Medium,3,1.24 kg,1121,71,2022-09-30 15:00:58.182212,Afgekeurd,9004,6.48 kg CO2/kg,Geen,5.86 hours,27,2.26%,231.0 kWh,Grinder 4,8654,2022-02-27,5702
,Guatemala,Laag,Arabica,Voldoet,0.33%,2021-09-21,2022-02-27 03:51:48.064889,2022-02-27 04:31:22.691200,Filling Machine 4,447.52,300,2022-02-27 03:41:01.354418,89.27%,2022-02-27 03:10:42.923228,2.95,2022-02-27 02:57:21,8 dagen,1.0,Medium,9,1.25 kg,2425,69,2022-02-27 04:22:24.085803,Herziening vereist,6597,4.67 kg CO2/kg,Geen,2.95 hours,38,1.97%,264.0 kWh,Grinder 3,3667,2022-04-02,4473
Packager 1,Costa Rica,Laag,Robusta,Voldoet,1.12%,2020-10-09,2022-08-09 19:17:49.369085,2022-08-09 21:08:17.123756,Filling Machine 3,505.05,400,2022-08-09 18:50:26.163561,71.66%,2022-08-09 18:14:47.711615,4.18,2022-08-09 17:58:29,12 dagen,4.0,Medium,4,1.05 kg,2261,53,onbekend,Goedgekeurd,5836,3.96 kg CO2/kg,Geen,4.18 hours,62,1.10%,190.0 kWh,Grinder 2,5079,2020-12-19,5403
Onbekend apparaat,Bolivia,Zeer Hoog,Arabica,Voldoet gedeeltelijk,0.60%,2022-11-15,2021-05-22 15:40:11.367788,2021-05-22 17:38:19.513209,Filling Machine 3,507.65,200,2021-05-22 15:31:42.184370,75.88%,2021-05-22 15:00:57.363973,4.15,2021-05-22 14:42:46,7 dagen,2.0,Licht,5,1.11 kg,7013,63,2021-05-22 16:50:57.357774,Herziening vereist,3349,4.23 kg CO2/kg,Geen,4.15 hours,100,2.02%,199.0 kWh,Grinder 2,6333,2023-09-27,2835
Packager 1,Papoea-Nieuw-Guinea,Laag,Arabica,Voldoet niet,0.62%,2021-01-22,2020-03-19 20:52:04.765029,2020-03-19 22:25:03.411193,Filling Machine 4,558.73,300,2020-03-19 20:35:16.796201,67.48%,2020-03-19 20:23:37.880109,5.17,2020-03-19 19:55:56,16 dagen,3.0,Licht,onbekend,,720,32,2020-03-19 21:49:27.584380,Goedgekeurd,1747,7.63 kg CO2/kg,Geen,5.17 hours,46,2.77%,???,Grinder 4,8801,2021-09-10,449
Packager 2,Angola,Matig,Robusta,Voldoet niet,0.49%,2023-09-16,2022-10-10 16:46:04.017699,2022-10-10 17:29:57.399585,Filling Machine 3,529.71,500,2022-10-10 16:33:48.550537,81.87%,2022-10-10 16:18:08.435202,4.59,2022-10-10 15:58:51,12 dagen,3.0,Medium,3,0.95 kg,4804,69,2022-10-10 17:14:21.847561,Afgekeurd,1167,5.57 kg CO2/kg,Geen,4.59 hours,36,2.24%,270.0 kWh,Grinder 2,2065,2023-10-17,5755
Packager 4,Indonesië,Hoog,Arabica,Voldoet,0.58%,2023-03-25,2023-04-18 12:49:59.743968,2023-04-18 14:00:45.881280,Filling Machine 2,500.43,298,2023-04-18 12:32:28.365514,60.76%,2023-04-18 12:10:30.016646,4.01,2023-04-18 11:53:37,8 dagen,4.0,Medium-Donker,4,1.16 kg,9277,73,2023-04-18 13:24:27.151877,Herziening vereist,2130,7.34 kg CO2/kg,Geen,4.01 hours,73,2.44%,201.0 kWh,Grinder 5,4798,2024-03-03,6800
Packager 3,Zimbabwe,Hoog,Arabica,Voldoet niet,1.14%,2023-03-13,2020-06-08 08:40:26.067716,2020-06-08 10:12:48.552223,Filling Machine 2,509.83,100,2020-06-08 08:25:13.814468,76.94%,2020-06-08 08:08:40.328602,4.2,2020-06-08 07:51:31,16 dagen,2.0,Medium,5,1.26 kg,8372,93,2020-06-08 09:46:02.911624,Goedgekeurd,2147,5.81 kg CO2/kg,Geen,4.20 hours,37,1.95%,,Grinder 5,8294,2023-10-05,874
Packager 2,Venezuela,Laag,Arabica,Voldoet,1.76%,2023-12-17,2020-09-23 00:13:01.391454,2020-09-23 02:33:15.495601,Filling Machine 5,598.2,400,2020-09-22 23:56:28.595808,65.45%,2020-09-22 23:20:46.847370,5.96,2020-09-22 22:56:46,16 dagen,6.0,Medium-Donker,4,1.09 kg,5659,47,2020-09-23 01:41:03.551500,Goedgekeurd,8119,8.37 kg CO2/kg,Geen,5.96 hours,60,4.22%,350.0 kWh,Grinder 1,7562,2024-05-17,1455
Packager 5,Myanmar,Kritiek,Robusta,Voldoet,1.05%,2023-07-29,2021-05-11 01:13:30.481315,2021-05-11 02:26:43.144553,Filling Machine 1,507.78,400,2021-05-11 00:55:01.504754,77.05%,2021-05-11 00:08:58.056906,4.16,2021-05-10 23:38:55,10 dagen,4.0,Medium,6,0.94 kg,8210,55,2021-05-11 02:08:57.905031,Afgekeurd,1335,6.46 kg CO2/kg,Herziening vereist,4.16 hours,34,1.81%,285.0 kWh,Grinder 4,2603,2024-06-04,2779
Packager 4,Malawi,Laag,Robusta,Voldoet,1.15%,2022-09-03,2020-12-25 07:01:57.509270,2020-12-25 08:38:47.822268,Filling Machine 2,565.25,500,2020-12-25 06:53:37.269599,68.23%,onbekend,5.31,0000-00-00 00:00:00,13 dagen,7.0,Licht,4,1.25 kg,713,47,2020-12-25 07:59:23.546157,Goedgekeurd,3583,8.63 kg CO2/kg,Herziening vereist,5.31 hours,48,3.21%,269.0 kWh,Grinder 2,1205,2022-12-26,1997
Packager 5,Madagascar,Zeer Hoog,Arabica,Voldoet,1.06%,2020-06-10,2020-05-23 12:01:57.390095,2020-05-23 13:42:16.863933,Filling Machine 5,518.47,300,2020-05-23 11:45:34.964068,65.34%,2020-05-23 11:13:41.500419,4.37,0000-00-00 00:00:00,21 dagen,4.0,Medium-Donker,3,0.95 kg,9336,54,2020-05-23 13:12:57.363516,Afgekeurd,8741,5.52 kg CO2/kg,Geen,4.37 hours,78,1.29%,238.0 kWh,Grinder 2,7285,2021-02-15,776
Packager 3,Myanmar,Matig,Robusta,Voldoet,0.40%,2021-07-26,2023-02-27 17:19:59.478728,2023-02-27 18:49:09.358445,Filling Machine 4,471.1,100,2023-02-27 17:03:27.547473,82.31%,2023-02-27 16:18:53.680386,3.42,2023-02-27 15:53:49,17 dagen,3.0,Licht,6,0.58 kg,2019,65,2023-02-27 18:27:33.479556,Goedgekeurd,1096,6.29 kg CO2/kg,Geen,3.42 hours,37,1.79%,279.0 kWh,Grinder 2,1389,2022-02-27,6545
Packager 5,Vietnam,Laag,Excelsa,Voldoet niet,1.41%,2023-08-27,2022-12-13 18:41:41.699424,2022-12-13 20:08:28.706082,Filling Machine 5,545.07,298,2022-12-13 18:33:11.660639,83.52%,2022-12-13 18:06:37.540435,4.9,2022-12-13 17:56:30,21 dagen,3.0,Licht,6,1.04 kg,7582,14,2022-12-13 19:32:12.930290,Goedgekeurd,4543,8.59 kg CO2/kg,Uitstekende kwaliteit,4.90 hours,69,1.86%,378.0 kWh,Grinder 1,7014,2023-10-09,6117
Packager 2,Angola,Matig,Excelsa,Voldoet gedeeltelijk,1.84%,2023-12-13,2022-02-02 12:32:06.191122,2022-02-02 14:11:02.760647,Filling Machine 1,566.36,200,2022-02-02 12:14:31.360403,73.60%,31-02-2025 25:61:61,5.33,2022-02-02 11:40:32,14 dagen,7.0,Medium,3,1.12 kg,7954,56,2022-02-02 13:35:23.222457,Goedgekeurd,3447,3.05 kg CO2/kg,Herziening vereist,5.33 hours,50,1.62%,279.0 kWh,Grinder 2,1740,2024-10-03,4315
Packager 5,India,Laag,Arabica,Voldoet,1.18%,2023-08-30,2022-02-23 13:25:43.790661,2022-02-23 15:11:39.780276,Filling Machine 5,553.49,500,2022-02-23 13:10:27.160928,77.39%,2022-02-23 12:50:59.827277,5.07,2022-02-23 12:30:29,12 dagen,7.0,Donker,3,0.53 kg,1461,49,2022-02-23 14:40:05.163390,Goedgekeurd,3282,8.91 kg CO2/kg,Geen,5.07 hours,53,0.58%,175.0 kWh,Grinder 5,483,2024-08-20,4457
Packager 3,Ethiopië,Matig,Robusta,Voldoet gedeeltelijk,1.14%,2021-07-30,2021-01-22 23:35:35.513428,2021-01-23 01:16:47.288516,Filling Machine 2,480.84,300,2021-01-22 23:22:16.379293,82.37%,2021-01-22 23:04:30.725940,3.62,2021-01-22 22:37:07,11 dagen,6.0,Licht,5,0.50 kg,5851,47,2021-01-23 00:35:49.891934,Goedgekeurd,1062,5.40 kg CO2/kg,Geen,3.62 hours,48,3.32%,327.0 kWh,Grinder 2,4821,2021-10-19,2161
Packager 4,Peru,Hoog,Arabica,Voldoet,1.56%,2023-11-22,2020-10-19 03:16:56.928501,2020-10-19 04:34:24.084271,Filling Machine 1,505.05,300,2020-10-19 03:03:52.421878,61.30%,2020-10-19 02:26:13.691583,5.35,2020-10-19 01:57:16,15 dagen,5.0,Medium-Donker,5,1.09 kg,6893,37,2020-10-19 03:57:42.268639,Herziening vereist,3696,4.68 kg CO2/kg,Geen,5.35 hours,63,2.57%,228.0 kWh,Grinder 2,1300,2024-05-07,XXXX
Packager 1,Laos,Hoog,Arabica,Voldoet,0.14%,2022-08-18,2020-11-28 03:14:47.137709,2020-11-28 04:56:14.351197,Filling Machine 3,515.86,298,2020-11-28 02:55:14.751809,66.43%,2020-11-28 02:11:52.726507,4.32,2020-11-28 01:53:59,19 dagen,5.0,Licht,5,,7425,41,2020-11-28 04:27:40.565887,Herziening vereist,1280,2.96 kg CO2/kg,Geen,4.32 hours,56,2.82%,245.0 kWh,Grinder 2,4963,2023-07-31,1842
Packager 2,Laos,Matig,Robusta,Voldoet niet,0.00%,2020-03-23,2022-07-13 10:31:47.871593,2022-07-13 11:52:15.083852,Filling Machine 4,505.05,300,2022-07-13 10:12:35.626104,80.77%,2022-07-13 09:49:52.178602,3.0,2022-07-13 09:24:01,18 dagen,6.0,Medium,3,0.99 kg,3144,47,2022-07-13 11:20:35.913847,Goedgekeurd,7861,8.22 kg CO2/kg,Geen,3.00 hours,47,3.50%,263.0 kWh,Grinder 2,473,2020-07-30,5264
Packager 2,Dominicaanse Republiek,Kritiek,Robusta,Voldoet,0.85%,2022-08-09,2021-11-23 23:59:07.998014,2021-11-24 01:50:18.242254,Filling Machine 3,506.2,200,2021-11-23 23:46:00.058064,74.80%,2021-11-23 23:18:57.982336,4.12,2021-11-23 22:53:54,16 dagen,5.0,Licht,5,,8439,67,2021-11-24 01:23:04.575207,Herziening vereist,3859,9.24 kg CO2/kg,Geen,4.12 hours,44,3.42%,,Grinder 4,1770,,3912
Packager 3,Nicaragua,Matig,Arabica,Voldoet,0.80%,2022-10-30,2023-03-28 14:05:33.392934,2023-03-28 14:57:41.522453,Filling Machine 5,534.41,500,onbekend,79.22%,2023-03-28 13:32:22.571491,4.69,2023-03-28 13:15:44,16 dagen,4.0,Medium-Donker,5,1.08 kg,8687,66,2023-03-28 14:28:21.429601,Afgekeurd,6893,3.65 kg CO2/kg,Geen,4.69 hours,72,1.35%,238.0 kWh,Grinder 5,2795,2023-02-24,6706
Packager 3,Madagascar,Kritiek,Robusta,Voldoet,1.34%,2022-11-28,2022-07-10 23:59:47.437417,2022-07-11 01:15:42.925421,Filling Machine 2,511.88,200,2022-07-10 23:49:57.664282,69.55%,2022-07-10 23:27:48.846457,4.24,2022-07-10 23:12:18,11 dagen,7.0,Medium,4,1.20 kg,1803,52,2022-07-11 00:59:37.789389,Herziening vereist,9922,7.14 kg CO2/kg,Geen,4.24 hours,46,1.84%,231.0 kWh,Grinder 5,8617,2023-02-19,5247
Packager 2,Tanzania,Laag,Excelsa,Voldoet gedeeltelijk,0.88%,2020-10-08,2021-03-27 13:17:50.209914,2021-03-27 14:08:57.616379,Filling Machine 1,499.38,300,31-02-2025 25:61:61,77.24%,2021-03-27 12:34:12.047121,3.99,2021-03-27 12:07:33,6 dagen,8.0,Medium,7,1.36 kg,7264,50,2021-03-27 13:49:18.761184,Goedgekeurd,8999,4.32 kg CO2/kg,Geen,3.99 hours,55,2.78%,245.0 kWh,Grinder 4,4407,2021-01-01,2531
Packager 1,Brazilië,Hoog,Liberica,Voldoet niet,1.88%,2023-06-05,2023-08-22 22:35:02.797531,2023-08-23 00:23:12.676517,Filling Machine 2,501.12,400,2023-08-22 22:20:41.926329,77.49%,2023-08-22 21:43:56.455264,4.02,2023-08-22 21:24:12,15 dagen,5.0,Donker,4,1.09 kg,8274,70,2023-08-22 23:56:40.600867,Goedgekeurd,9688,,Geen,4.02 hours,67,4.54%,258.0 kWh,Grinder 3,8350,2023-10-01,7478
Packager 1,Burundi,Laag,Robusta,Voldoet,0.93%,2022-07-20,2023-09-17 10:36:21.286963,2023-09-17 12:06:55.511498,Filling Machine 3,542.41,400,2023-09-17 10:17:00.612679,73.74%,2023-09-17 09:46:43.226737,4.85,2023-09-17 09:29:47,10 dagen,5.0,Medium,5,0.89 kg,5617,61,2023-09-17 11:43:09.996885,Goedgekeurd,1142,6.95 kg CO2/kg,Geen,4.85 hours,43,2.80%,320.0 kWh,Grinder 1,8244,2022-12-08,7624
Packager 4,Myanmar,Kritiek,Liberica,Voldoet gedeeltelijk,0.62%,2021-09-02,2022-12-05 09:55:44.205086,2022-12-05 10:49:29.749278,Filling Machine 1,450.81,500,2022-12-05 09:41:39.105744,66.49%,2022-12-05 09:09:10.629182,3.02,2022-12-05 08:34:05,6 dagen,,Medium,3,,1173,58,2022-12-05 10:15:15.261035,Afgekeurd,9563,10.00 kg CO2/kg,Geen,3.02 hours,32,2.13%,???,Grinder 4,1695,2022-08-18,6054
Packager 2,Puerto Rico,Matig,Arabica,Voldoet gedeeltelijk,1.68%,2020-06-08,2021-08-08 15:28:31.476180,2021-08-08 17:27:55.666418,Filling Machine 1,473.0,400,2021-08-08 15:02:10.246670,84.60%,2021-08-08 14:10:33.234478,3.46,2021-08-08 13:42:02,17 dagen,8.0,Medium,10,0.93 kg,5297,25,2021-08-08 17:01:27.159459,Afgekeurd,7329,6.35 kg CO2/kg,Geen,3.46 hours,51,0.60%,264.0 kWh,Grinder 4,2737,,3298
Packager 1,Zambia,Hoog,Robusta,Voldoet,1.58%,2021-08-25,2023-08-23 04:55:25.184304,2023-08-23 06:50:23.192259,Filling Machine 3,495.49,200,0000-00-00 00:00:00,79.79%,2023-08-23 04:06:05.299749,3.91,2023-08-23 03:43:44,14 dagen,7.0,Medium,4,0.82 kg,2111,49,2023-08-23 06:14:24.459882,Herziening vereist,7828,7.00 kg CO2/kg,Herziening vereist,3.91 hours,63,0.11%,435.0 kWh,Grinder 1,256,2022-03-09,7479
Packager 5,Thailand,Matig,Robusta,Voldoet gedeeltelijk,1.10%,2021-10-13,2021-01-30 12:27:48.583895,2021-01-30 13:45:33.664490,Filling Machine 1,505.05,400,2021-01-30 12:09:31.284671,66.16%,2021-01-30 11:36:43.669369,3.18,2021-01-30 11:18:33,16 dagen,5.0,Licht,1,0.98 kg,4271,75,2021-01-30 13:10:29.175781,Herziening vereist,3404,4.48 kg CO2/kg,Geen,3.18 hours,66,3.35%,468.0 kWh,Grinder 1,6845,2022-07-28,2209
